Configuração,Convergência (%),Tempo Médio (s)
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.7,"taxaMutacao":0.07}",0,0.00866489999997616
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.7,"taxaMutacao":0.07}",0,0.006992300000011921
"{"metodoSelecao":"torneio","metodoCrossover":"ciclico","taxaCrossover":0.7,"taxaMutacao":0.07}",0,0.007951600000023842
"{"metodoSelecao":"roleta","metodoCrossover":"pmx","taxaCrossover":0.7,"taxaMutacao":0.08}",0,0.007727199999988079
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.7,"taxaMutacao":0.08}",0,0.008607899999976158
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.7,"taxaMutacao":0.08}",0,0.007003399999976158
"{"metodoSelecao":"torneio","metodoCrossover":"ciclico","taxaCrossover":0.7,"taxaMutacao":0.08}",0,0.007934399999976157
"{"metodoSelecao":"roleta","metodoCrossover":"pmx","taxaCrossover":0.6,"taxaMutacao":0.05}",0,0.008128899999976158
"{"metodoSelecao":"roleta","metodoCrossover":"pmx","taxaCrossover":0.6,"taxaMutacao":0.1}",0,0.008075599999964237
"{"metodoSelecao":"roleta","metodoCrossover":"pmx","taxaCrossover":0.8,"taxaMutacao":0.05}",0,0.007996899999976157
"{"metodoSelecao":"roleta","metodoCrossover":"pmx","taxaCrossover":0.8,"taxaMutacao":0.1}",0,0.008063099999964237
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.6,"taxaMutacao":0.05}",0,0.0072883999999761575
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.6,"taxaMutacao":0.1}",0,0.007366300000011921
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.8,"taxaMutacao":0.05}",0,0.007310599999964237
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.8,"taxaMutacao":0.1}",0,0.007525600000023842
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.6,"taxaMutacao":0.05}",0,0.009309700000047685
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.6,"taxaMutacao":0.1}",0,0.008940899999976158
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.8,"taxaMutacao":0.05}",0,0.008949600000023842
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.8,"taxaMutacao":0.1}",0,0.009037099999964238
"{"metodoSelecao":"torneio","metodoCrossover":"ciclico","taxaCrossover":0.6,"taxaMutacao":0.05}",0,0.008217300000011921
"{"metodoSelecao":"torneio","metodoCrossover":"ciclico","taxaCrossover":0.6,"taxaMutacao":0.1}",0,0.008307199999988078
"{"metodoSelecao":"torneio","metodoCrossover":"ciclico","taxaCrossover":0.8,"taxaMutacao":0.05}",0,0.00825119999998808
"{"metodoSelecao":"torneio","metodoCrossover":"ciclico","taxaCrossover":0.8,"taxaMutacao":0.1}",0,0.008301100000023843
"{"metodoSelecao":"roleta","metodoCrossover":"pmx","taxaCrossover":0.7,"taxaMutacao":0.07}",0,0.00813869999998808
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.7,"taxaMutacao":0.07}",0,0.008939099999964237
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.7,"taxaMutacao":0.07}",0,0.007376799999952317
"{"metodoSelecao":"torneio","metodoCrossover":"ciclico","taxaCrossover":0.7,"taxaMutacao":0.07}",0,0.008261099999964237
"{"metodoSelecao":"roleta","metodoCrossover":"pmx","taxaCrossover":0.7,"taxaMutacao":0.08}",0,0.008050100000023843
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.7,"taxaMutacao":0.08}",0,0.00892930000001192
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.7,"taxaMutacao":0.08}",0,0.007333700000047684
"{"metodoSelecao":"torneio","metodoCrossover":"ciclico","taxaCrossover":0.7,"taxaMutacao":0.08}",0,0.008317800000011921
"{"metodoSelecao":"roleta","metodoCrossover":"pmx","taxaCrossover":0.6,"taxaMutacao":0.05}",0,0.007122100000023842
"{"metodoSelecao":"roleta","metodoCrossover":"pmx","taxaCrossover":0.6,"taxaMutacao":0.1}",0,0.0070701999999880786
"{"metodoSelecao":"roleta","metodoCrossover":"pmx","taxaCrossover":0.8,"taxaMutacao":0.05}",0,0.007072099999964237
"{"metodoSelecao":"roleta","metodoCrossover":"pmx","taxaCrossover":0.8,"taxaMutacao":0.1}",0,0.007095900000035763
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.6,"taxaMutacao":0.05}",0,0.006330099999964237
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.6,"taxaMutacao":0.1}",0,0.006320800000011922
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.8,"taxaMutacao":0.05}",0,0.006317699999988079
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.8,"taxaMutacao":0.1}",0,0.006356399999976159
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.6,"taxaMutacao":0.05}",0,0.007896499999999999
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.6,"taxaMutacao":0.1}",0,0.008023399999976158
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.8,"taxaMutacao":0.05}",0,0.007945199999988078
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.8,"taxaMutacao":0.1}",0,0.007940899999976157
"{"metodoSelecao":"torneio","metodoCrossover":"ciclico","taxaCrossover":0.6,"taxaMutacao":0.05}",0,0.007257099999964237
"{"metodoSelecao":"torneio","metodoCrossover":"ciclico","taxaCrossover":0.6,"taxaMutacao":0.1}",0,0.0072635
"{"metodoSelecao":"torneio","metodoCrossover":"ciclico","taxaCrossover":0.8,"taxaMutacao":0.05}",0,0.00725180000001192
"{"metodoSelecao":"torneio","metodoCrossover":"ciclico","taxaCrossover":0.8,"taxaMutacao":0.1}",0,0.007332599999964237
"{"metodoSelecao":"roleta","metodoCrossover":"pmx","taxaCrossover":0.7,"taxaMutacao":0.07}",0,0.0070605
"{"metodoSelecao":"torneio","metodoCrossover":"pmx","taxaCrossover":0.7,"taxaMutacao":0.07}",0,0.007934300000011921
"{"metodoSelecao":"roleta","metodoCrossover":"ciclico","taxaCrossover":0.7,"taxaMutacao":0.07}",0,0.006417
